id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
17381819,Manhattan,Lower East Side,40.71982,-73.98538,Entire home/apt,5.783825182329737,30,2,0.03,1,0
17602108,Manhattan,East Village,40.72862,-73.9882,Entire home/apt,4.762173934797756,45,24,0.39,1,277
17383253,Manhattan,Upper West Side,40.79533,-73.962898,Entire home/apt,5.1298987149230735,30,12,0.2,35,187
17757976,Manhattan,Gramercy,40.73412,-73.98293,Entire home/apt,5.857933154483459,5,21,0.34,1,14
17603059,Manhattan,Midtown,40.7465,-73.98529,Private room,5.560681631015528,3,89,1.45,1,63
17759478,Brooklyn,Bedford-Stuyvesant,40.69018,-73.95357,Private room,4.48863636973214,1,135,2.15,4,325
17759501,Queens,Glendale,40.69785,-73.89411,Private room,4.23410650459726,30,1,0.02,4,365
17759694,Brooklyn,Williamsburg,40.7104,-73.94715,Entire home/apt,5.0106352940962555,30,45,0.78,1,105
17383677,Staten Island,St. George,40.64397,-74.08063,Entire home/apt,4.77912349311153,3,139,2.19,7,249
17383929,Brooklyn,Crown Heights,40.67554,-73.93327,Private room,3.5553480614894135,30,0,0.0,1,0
17605478,Brooklyn,Bushwick,40.69317,-73.92243,Private room,4.0943445622221,5,40,0.63,4,365
17385865,Queens,Elmhurst,40.74058,-73.87628,Private room,3.5553480614894135,30,0,0.0,172,0
17396669,Brooklyn,Crown Heights,40.67129,-73.93253,Private room,3.871201010907891,30,57,0.98,1,60
17398122,Manhattan,Harlem,40.81522,-73.94033,Entire home/apt,6.214608098422191,30,23,0.36,1,0
17759953,Queens,Glendale,40.69796,-73.89484,Private room,4.23410650459726,5,2,0.18,4,361
17764355,Staten Island,Stapleton,40.63398,-74.07871,Entire home/apt,4.859812404361672,4,158,2.53,2,309
17605729,Manhattan,East Village,40.72803,-73.981,Private room,4.31748811353631,30,3,0.05,1,0
17606753,Brooklyn,Bushwick,40.69498,-73.92255,Private room,4.07753744390572,5,43,0.68,4,320
17765841,Queens,Flushing,40.75024,-73.80607,Entire home/apt,5.5053315359323625,3,22,0.35,6,42
17766580,Manhattan,Lower East Side,40.71978,-73.99395,Entire home/apt,4.867534450455582,30,18,0.32,1,0
17771762,Brooklyn,Bushwick,40.68634,-73.91363,Private room,3.8066624897703196,30,4,0.07,24,246
17774316,Manhattan,East Harlem,40.78869,-73.95305,Private room,4.127134385045092,30,3,0.05,1,0
17411672,Brooklyn,Bedford-Stuyvesant,40.69566,-73.94521,Entire home/apt,4.584967478670572,2,24,0.57,1,257
17415890,Brooklyn,Williamsburg,40.71829,-73.95648,Entire home/apt,5.298317366548036,30,7,0.11,1,0
17607132,Brooklyn,Bushwick,40.69358,-73.92239,Private room,3.8918202981106265,5,11,0.17,4,354
17416959,Manhattan,Harlem,40.80717,-73.95065,Private room,8.859505484519133,3,0,0.0,8,300
17778781,Brooklyn,Williamsburg,40.70987,-73.96567,Private room,4.007333185232471,30,2,0.03,1,0
17786762,Manhattan,Hell's Kitchen,40.7622,-73.99567,Entire home/apt,5.0106352940962555,3,1,0.02,1,0
17790958,Manhattan,Nolita,40.72125,-73.99612,Private room,4.90527477843843,30,67,1.24,1,0
17609502,Queens,Jamaica,40.68028,-73.78331,Private room,3.7612001156935624,1,469,7.38,2,324
17791464,Queens,Long Island City,40.74797,-73.94481,Private room,4.174387269895637,30,107,1.69,2,0
17418006,Queens,Springfield Gardens,40.69148,-73.74738,Entire home/apt,5.3471075307174685,3,110,1.74,1,294
17610023,Brooklyn,Park Slope,40.67921,-73.974,Private room,4.174387269895637,13,4,0.06,1,0
17419342,Manhattan,Harlem,40.80717,-73.95065,Private room,5.666426688112432,2,20,0.32,8,358
17792856,Queens,Astoria,40.76386,-73.92259,Private room,4.174387269895637,30,14,0.23,1,0
17793180,Brooklyn,Bushwick,40.69628,-73.91356,Private room,4.663439094112067,30,4,0.07,1,0
17610059,Manhattan,Chelsea,40.74638,-73.99049,Private room,4.605170185988092,30,1,0.02,2,0
17617905,Queens,Sunnyside,40.74188,-73.92414,Entire home/apt,4.0943445622221,30,17,0.27,2,1
17793185,Brooklyn,Prospect Heights,40.67869,-73.96884,Entire home/apt,5.1647859739235145,30,5,0.08,1,0
17420370,Brooklyn,Bedford-Stuyvesant,40.68227,-73.9442,Private room,3.8066624897703196,28,8,0.19,2,0
17423245,Manhattan,East Harlem,40.79703,-73.94013,Private room,4.553876891600541,30,22,0.41,2,0
17618903,Brooklyn,Gowanus,40.67662,-73.99044,Entire home/apt,4.605170185988092,30,3,0.05,1,0
17430215,Manhattan,Chelsea,40.74892,-74.00153,Private room,5.0106352940962555,30,0,0.0,1,0
17796480,Queens,Jackson Heights,40.75011,-73.87544,Private room,3.8918202981106265,30,119,1.89,1,262
